               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12068,            0.014541,             0.02932,            0.002042,             0.22832,           0.0027006,          0.00083325,             0.10997,            0.012832,            0.026914,              0.0757,              0.0027,              0.0027
                   1,             0.10034,            0.021122,             0.02553,              0.1469,            0.059516,            0.073511,            0.017755,            0.094041,            0.014797,            0.021199,            0.050432,           0.0054319,           0.0054319
                   2,            0.085843,            0.022576,            0.019505,             0.10882,             0.22915,            0.078184,            0.019667,            0.094806,            0.011769,            0.011056,            0.025095,           0.0080946,           0.0080946
                   3,            0.077689,            0.020897,            0.012174,             0.33796,             0.45062,             0.29902,            0.084241,            0.081888,            0.015807,           0.0050859,           0.0096288,           0.0096288,           0.0096288
                   4,            0.074351,            0.018798,           0.0080394,             0.33826,             0.61665,             0.31921,            0.097208,            0.082061,            0.011486,           0.0039488,           0.0096288,           0.0096288,           0.0096288
                   5,            0.068686,            0.018103,           0.0064761,             0.48638,             0.61793,             0.52427,              0.1984,             0.06809,            0.010284,           0.0041545,            0.009505,            0.009505,            0.009505
                   6,            0.062489,             0.01663,           0.0055414,              0.5258,              0.7432,             0.58887,             0.24203,            0.059526,             0.01027,           0.0037319,           0.0093813,           0.0093813,           0.0093813
                   7,            0.058053,            0.017102,           0.0052777,             0.51831,             0.63639,             0.55776,             0.22916,            0.059044,           0.0099069,           0.0034481,           0.0092575,           0.0092575,           0.0092575
                   8,            0.056458,            0.016796,           0.0051313,              0.4607,              0.7667,             0.46886,             0.20174,            0.057862,           0.0097782,           0.0033996,           0.0091337,           0.0091337,           0.0091337
                   9,            0.054092,            0.015445,           0.0042681,             0.62554,             0.80727,             0.69869,              0.3155,            0.050357,           0.0094392,           0.0030176,             0.00901,             0.00901,             0.00901
