               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.09259,            0.032074,                   0,            0.051566,            0.057143,            0.043685,           0.0099576,            0.066079,            0.022217,                   0,            0.070385,           0.0032906,           0.0032906
                   1,            0.065925,            0.024055,                   0,             0.41774,             0.57143,             0.42897,             0.15703,            0.055047,            0.014289,                   0,            0.040253,           0.0064928,           0.0064928
                   2,            0.063549,            0.020718,                   0,             0.34339,             0.31429,             0.34231,             0.13096,            0.053251,            0.011726,                   0,           0.0099903,            0.009563,            0.009563
                   3,            0.055495,            0.020119,                   0,             0.53409,             0.58972,             0.56431,             0.30512,             0.05026,           0.0091334,                   0,            0.009406,            0.009406,            0.009406
                   4,            0.048942,            0.017768,                   0,             0.72549,             0.62857,              0.7151,             0.37028,            0.044206,           0.0086518,                   0,            0.009406,            0.009406,            0.009406
                   5,            0.050229,            0.017558,                   0,             0.87565,             0.71429,             0.83468,             0.47006,            0.037247,           0.0078822,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.043569,             0.01654,                   0,             0.84569,             0.78315,             0.86127,             0.46389,             0.03879,           0.0067798,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.042363,            0.015228,                   0,              0.7763,                 0.8,             0.82205,             0.50395,            0.039199,           0.0058825,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.038669,            0.014584,                   0,              0.7714,             0.86789,             0.91556,              0.5835,            0.035638,           0.0057573,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.035716,            0.013173,                   0,             0.66212,             0.89597,             0.79869,             0.46497,            0.034169,           0.0050086,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.036533,            0.012715,                   0,             0.85882,             0.88571,             0.93475,             0.60244,            0.030214,           0.0052765,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.035968,            0.012481,                   0,             0.94417,             0.88571,             0.97083,             0.60755,            0.028833,           0.0045521,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.032709,            0.011655,                   0,             0.94985,             0.97143,              0.9922,             0.67611,            0.025656,            0.004295,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.034342,            0.011823,                   0,                   1,             0.99191,               0.995,             0.71444,            0.022606,           0.0042622,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.033819,             0.01177,                   0,                   1,             0.96299,             0.99167,             0.69406,            0.028097,           0.0041381,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.029842,            0.010513,                   0,             0.97123,                   1,             0.99444,             0.65064,            0.028736,           0.0039001,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.029296,            0.010862,                   0,             0.97104,             0.95807,             0.98999,             0.67079,            0.027361,           0.0038271,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.029172,            0.010512,                   0,              0.9721,             0.99576,             0.99111,             0.71791,             0.02435,           0.0037131,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.027766,            0.010298,                   0,             0.97205,             0.99391,             0.99111,             0.68346,            0.024514,           0.0036991,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.026442,            0.010051,                   0,             0.96681,                   1,             0.99194,             0.65635,            0.025009,           0.0033877,                   0,            0.006436,            0.006436,            0.006436
                  20,            0.025189,            0.009462,                   0,             0.96889,                   1,             0.99444,             0.74482,            0.024931,           0.0032114,                   0,            0.006238,            0.006238,            0.006238
                  21,            0.025852,           0.0099144,                   0,             0.97028,                   1,             0.99278,             0.71016,            0.024643,           0.0031305,                   0,             0.00604,             0.00604,             0.00604
                  22,            0.025341,            0.010135,                   0,             0.99098,             0.97143,             0.99295,             0.74976,            0.022973,            0.003506,                   0,            0.005842,            0.005842,            0.005842
                  23,             0.02276,           0.0089708,                   0,             0.99408,             0.97143,             0.99444,             0.72943,            0.024978,           0.0031815,                   0,            0.005644,            0.005644,            0.005644
                  24,            0.022765,           0.0091389,                   0,             0.99385,                   1,               0.995,             0.72663,            0.023844,            0.003006,                   0,            0.005446,            0.005446,            0.005446
                  25,            0.023258,           0.0082824,                   0,             0.99726,                   1,               0.995,             0.78961,            0.019666,            0.002878,                   0,            0.005248,            0.005248,            0.005248
                  26,            0.023198,           0.0088186,                   0,             0.99772,                   1,               0.995,             0.70812,              0.0249,           0.0030389,                   0,             0.00505,             0.00505,             0.00505
                  27,            0.023052,           0.0080692,                   0,             0.99756,                   1,               0.995,              0.7849,            0.018751,           0.0028644,                   0,            0.004852,            0.004852,            0.004852
                  28,               0.023,           0.0089245,                   0,             0.99871,                   1,               0.995,              0.7841,            0.019546,           0.0028812,                   0,            0.004654,            0.004654,            0.004654
                  29,            0.022096,           0.0086162,                   0,              0.9971,                   1,               0.995,             0.76405,            0.020402,           0.0027508,                   0,            0.004456,            0.004456,            0.004456
                  30,            0.021036,           0.0081622,                   0,             0.99635,                   1,               0.995,             0.77037,            0.021832,           0.0028032,                   0,            0.004258,            0.004258,            0.004258
