               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12211,            0.013021,            0.029304,           0.0018848,              0.2114,           0.0021913,          0.00047656,             0.11361,           0.0097277,             0.02702,            0.070882,           0.0032353,           0.0032353
                   1,             0.10324,            0.017947,            0.025123,           0.0041264,             0.47263,            0.011874,           0.0024873,             0.10132,            0.011246,             0.02349,            0.040752,           0.0064386,           0.0064386
                   2,            0.089271,            0.020698,            0.020678,             0.13961,             0.26529,            0.085791,            0.018174,            0.099714,            0.010377,            0.015531,             0.01049,           0.0095098,           0.0095098
                   3,            0.079522,             0.01889,            0.014501,             0.22445,             0.25873,             0.20767,            0.051569,            0.086269,            0.011712,            0.007207,            0.009406,            0.009406,            0.009406
                   4,            0.075787,            0.016729,           0.0091994,             0.44054,             0.51943,             0.45829,             0.16456,            0.082304,            0.009669,            0.005089,            0.009406,            0.009406,            0.009406
                   5,            0.070231,            0.016405,           0.0071298,             0.37699,             0.65176,             0.38864,             0.10221,            0.072757,           0.0094842,           0.0050916,            0.009208,            0.009208,            0.009208
                   6,            0.065534,            0.015727,            0.005889,             0.43303,             0.60867,             0.50588,             0.18898,            0.065515,           0.0089284,           0.0040801,             0.00901,             0.00901,             0.00901
                   7,            0.062411,            0.015843,            0.005383,             0.47462,             0.68271,             0.53937,             0.22362,            0.062754,           0.0085008,           0.0034786,            0.008812,            0.008812,            0.008812
                   8,             0.05846,            0.015271,           0.0045212,             0.72709,             0.73956,             0.76939,             0.36338,            0.054149,            0.008458,           0.0033598,            0.008614,            0.008614,            0.008614
                   9,            0.054704,            0.013933,           0.0049465,             0.55255,             0.77069,             0.63895,             0.28873,            0.053698,           0.0084224,           0.0033951,            0.008416,            0.008416,            0.008416
                  10,            0.052063,             0.01536,           0.0053301,              0.6021,              0.7225,             0.68279,              0.3161,            0.047837,           0.0082179,           0.0033549,            0.008218,            0.008218,            0.008218
                  11,             0.05173,            0.014334,           0.0042982,             0.48206,             0.84824,              0.6512,             0.33314,            0.051047,           0.0077442,           0.0031231,             0.00802,             0.00802,             0.00802
                  12,            0.048056,            0.014219,           0.0039393,             0.81813,             0.87797,             0.89468,             0.51642,            0.046649,           0.0075272,           0.0028774,            0.007822,            0.007822,            0.007822
                  13,            0.047932,             0.01367,           0.0042154,             0.82162,             0.80434,             0.85299,             0.44964,            0.048723,           0.0075213,           0.0026542,            0.007624,            0.007624,            0.007624
                  14,            0.047374,            0.013026,           0.0032487,             0.82151,             0.85309,             0.91148,             0.50908,            0.048117,           0.0074198,           0.0025258,            0.007426,            0.007426,            0.007426
                  15,            0.044759,            0.013154,           0.0034334,             0.81061,             0.86978,             0.87192,             0.48607,             0.04322,            0.007311,           0.0025477,            0.007228,            0.007228,            0.007228
                  16,            0.044397,            0.013462,           0.0034715,             0.84454,             0.81694,             0.87676,             0.55057,             0.04502,           0.0069208,           0.0026028,             0.00703,             0.00703,             0.00703
                  17,              0.0446,            0.013408,           0.0031087,             0.90841,             0.88478,             0.93223,             0.55449,            0.041265,           0.0068869,           0.0024557,            0.006832,            0.006832,            0.006832
                  18,            0.041158,            0.012583,           0.0036974,             0.90679,              0.9257,              0.9434,             0.59463,            0.038195,           0.0066809,              0.0023,            0.006634,            0.006634,            0.006634
                  19,            0.040792,            0.012812,           0.0033407,             0.92562,             0.86978,             0.92874,             0.57304,            0.039924,           0.0067206,           0.0024914,            0.006436,            0.006436,            0.006436
                  20,            0.041624,            0.012383,           0.0034003,             0.90174,             0.89113,             0.95155,             0.58014,             0.03996,           0.0066243,            0.002466,            0.006238,            0.006238,            0.006238
                  21,            0.039732,             0.01194,           0.0036896,             0.82427,             0.90944,             0.92564,             0.62785,             0.03463,           0.0063925,           0.0023557,             0.00604,             0.00604,             0.00604
